iter	Passed	Remaining
0	1	112
1	2	99
2	2	91
3	3	82
4	4	80
5	5	79
6	5	78
7	6	76
8	7	75
9	8	74
10	9	73
11	9	72
12	10	71
13	11	70
14	12	69
15	13	68
16	13	67
17	14	66
18	15	65
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	20	60
25	21	60
26	21	59
27	22	58
28	23	57
29	24	56
30	25	56
31	26	56
32	27	55
33	28	55
34	29	54
35	29	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	38	43
47	39	42
48	40	41
49	41	41
50	41	40
51	42	39
52	43	38
53	44	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	29
64	54	29
65	54	28
66	55	27
67	56	26
68	57	25
69	58	24
70	58	24
71	59	23
72	60	22
73	61	21
74	62	20
75	62	19
76	63	19
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	70	11
86	71	10
87	72	9
88	73	9
89	74	8
90	74	7
91	75	6
92	76	5
93	77	4
94	77	4
95	78	3
96	79	2
97	80	1
98	81	0
99	81	0
