iter	Passed	Remaining
0	139	139106
1	140	70061
2	141	47042
3	142	35514
4	150	29880
5	151	25081
6	152	21648
7	153	19080
8	154	17064
9	156	15449
10	157	14125
11	158	13023
12	159	12104
13	164	11574
14	165	10859
15	166	10234
16	167	9683
17	168	9203
18	169	8771
19	171	8380
20	172	8020
21	173	7693
22	174	7394
23	178	7260
24	180	7027
25	181	6812
26	185	6682
27	186	6477
28	187	6291
29	188	6110
30	190	5939
31	194	5890
32	195	5741
33	197	5602
34	198	5471
35	199	5344
36	200	5222
37	201	5106
38	202	4994
39	203	4888
40	204	4788
41	211	4820
42	212	4728
43	213	4640
44	214	4561
45	216	4481
46	217	4403
47	218	4328
48	219	4258
49	220	4188
50	225	4194
51	226	4129
52	227	4067
53	228	4005
54	229	3949
55	231	3895
56	232	3840
57	233	3791
58	234	3740
59	235	3691
60	242	3736
61	243	3690
62	245	3646
63	246	3602
64	247	3558
65	248	3515
66	249	3473
67	250	3432
68	251	3394
69	256	3410
70	258	3381
71	259	3344
72	260	3310
73	262	3279
74	263	3245
75	264	3211
76	265	3178
77	266	3145
78	267	3113
79	272	3136
80	273	3106
81	275	3081
82	275	3048
83	277	3022
84	278	2995
85	281	2994
86	287	3016
87	289	3004
88	293	3004
89	295	2991
90	296	2966
91	298	2941
92	303	2960
93	304	2936
94	305	2912
95	306	2888
96	308	2871
97	309	2851
98	311	2830
99	312	2809
100	313	2787
101	314	2767
102	319	2783
103	320	2763
104	321	2744
105	323	2729
106	324	2710
107	325	2691
108	327	2673
109	328	2654
110	329	2637
111	336	2666
112	337	2650
113	339	2638
114	340	2621
115	341	2603
116	342	2584
117	343	2570
118	345	2556
119	350	2570
120	351	2554
121	352	2536
122	353	2520
123	355	2508
124	356	2493
125	357	2480
126	358	2464
127	359	2449
128	360	2435
129	366	2455
130	368	2441
131	369	2427
132	370	2414
133	371	2402
134	372	2389
135	373	2375
136	375	2362
137	376	2349
138	380	2357
139	382	2348
140	383	2339
141	387	2339
142	388	2327
143	389	2315
144	390	2304
145	397	2327
146	399	2320
147	402	2318
148	405	2314
149	410	2325
150	412	2318
151	413	2306
152	414	2295
153	416	2285
154	417	2275
155	419	2268
156	421	2261
157	431	2299
158	433	2294
159	435	2284
160	435	2271
161	437	2260
162	438	2251
163	440	2243
164	445	2253
165	446	2242
166	447	2232
167	449	2227
168	460	2262
169	461	2252
170	462	2244
171	464	2233
172	470	2249
173	474	2254
174	476	2244
175	477	2234
176	479	2228
177	480	2219
178	494	2268
179	495	2258
180	496	2247
181	497	2237
182	504	2251
183	505	2242
184	506	2232
185	507	2222
186	508	2212
187	509	2202
188	511	2196
189	512	2186
190	514	2178
191	516	2172
192	519	2173
193	522	2171
194	528	2182
195	529	2172
196	532	2170
197	534	2164
198	537	2162
199	538	2154
200	541	2151
201	542	2144
202	544	2137
203	548	2138
204	549	2131
205	550	2122
206	551	2113
207	555	2114
208	557	2108
209	560	2107
210	561	2099
211	562	2091
212	563	2083
213	565	2076
214	566	2068
215	572	2077
216	574	2072
217	577	2071
218	578	2063
219	581	2061
220	582	2054
221	587	2059
222	589	2052
223	590	2044
224	591	2036
225	592	2028
226	593	2020
227	594	2013
228	596	2007
229	597	2000
230	598	1992
231	603	1998
232	605	1992
233	606	1984
234	607	1977
235	608	1969
236	609	1962
237	610	1955
238	611	1947
239	612	1940
240	613	1933
241	618	1937
242	619	1929
243	620	1922
244	621	1915
245	622	1909
246	624	1903
247	625	1896
248	627	1891
249	628	1884
250	634	1892
251	635	1885
252	636	1878
253	639	1877
254	640	1870
255	641	1863
256	642	1857
257	643	1850
258	644	1843
259	647	1843
260	649	1837
261	650	1831
262	651	1825
263	652	1819
264	654	1815
265	655	1810
266	657	1803
267	658	1797
